genNum,genMean,genBest
0,186228.4,202093
1,305439.4,306348
2,305501.25,306348
3,305350.73,306348
4,305414.98,306304
5,305408.04,306338
6,305421.78,306348
7,305431.29,306348
8,305449.5,306215
9,305490.76,306374
10,305515.26,306348
11,305456.87,306348
12,305421.27,306348
13,305427.35,306348
14,305504.46,306311
15,305409.38,306242
16,305469.49,306348
17,305412.75,306348
18,305316.33,306308
19,305461.7,306348
20,305433.56,306309
21,305392.76,306248
22,305397.68,306229
23,305459.12,306194
24,305477.4,306348
25,305365.55,306355
26,305385.83,306348
27,305397.92,306348
28,305429.81,306348
29,305555.26,306348
30,305396.33,306348
31,305349.61,306150
32,305331.51,306348
33,305424.74,306348
34,305549.15,306348
35,305384.28,306348
36,305372.71,306348
37,305376.56,306252
38,305427.67,306236
39,305404.36,306348
40,305418.59,306243
41,305427.56,306348
42,305457.31,306348
43,305455.69,306230
44,305462.82,306348
45,305450.21,306274
46,305423.0,306241
47,305504.9,306188
48,305451.68,306370
49,305437.0,306366
50,305419.19,306348
51,305457.67,306223
52,305446.37,306242
53,305425.29,306179
54,305418.21,306348
55,305377.46,306268
56,305396.46,306298
57,305473.05,306348
58,305444.66,306348
59,305355.13,306348
60,305415.93,306348
61,305415.9,306348
62,305380.3,306201
63,305373.25,306242
64,305368.81,306348
65,305430.86,306348
66,305411.81,306348
67,305400.02,306348
68,305460.57,306348
69,305476.71,306299
70,305504.82,306258
71,305458.7,306348
72,305442.27,306348
73,305417.24,306348
74,305460.61,306348
75,305448.73,306348
76,305422.63,306275
77,305467.17,306348
78,305399.22,306348
79,305370.74,306060
80,305414.4,306355
81,305344.7,306348
82,305435.87,306229
83,305489.14,306337
84,305500.13,306348
85,305341.37,306348
86,305385.33,306348
87,305530.02,306348
88,305445.47,306348
89,305389.0,306196
90,305513.11,306348
91,305444.97,306287
92,305422.05,306348
93,305397.99,306247
94,305441.24,306233
95,305404.56,306286
96,305404.45,306198
97,305498.31,306258
98,305415.46,306348
99,305427.89,306348
